Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TRANSFER,Current,2024-04-06 13:10:56,2024-04-06 13:10:57,To MIRUNA-IOANA PAMPEA,-150.00,0.00,RON,COMPLETED,58.79
TRANSFER,Current,2024-04-16 11:45:08,2024-04-16 11:45:08,To MIRUNA-IOANA PAMPEA,-15.00,0.00,RON,COMPLETED,43.79
TOPUP,Current,2024-04-16 17:49:37,2024-04-16 17:49:38,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2293.79
TRANSFER,Current,2024-04-16 17:50:01,2024-04-16 17:50:02,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,43.79
TOPUP,Current,2024-04-25 13:46:28,2024-04-25 13:46:29,Apple Pay Top-Up by *4109,553.00,0.00,RON,COMPLETED,596.79
TRANSFER,Current,2024-04-25 13:47:05,2024-04-25 13:47:05,To LAURENTIU-IRINEL STAVARACHE,-553.00,0.00,RON,COMPLETED,43.79
TRANSFER,Current,2024-04-25 19:08:23,2024-04-25 19:08:23,From LAURENTIU-IRINEL STAVARACHE,175.00,0.00,RON,COMPLETED,218.79
TRANSFER,Current,2024-04-27 00:08:50,2024-04-27 00:08:50,From Bianca Ioana Pana,75.00,0.00,RON,COMPLETED,293.79
TRANSFER,Current,2024-05-12 11:50:25,2024-05-12 11:50:25,To MIRUNA-IOANA PAMPEA,-90.00,0.00,RON,COMPLETED,203.79
TRANSFER,Current,2024-05-14 14:42:55,2024-05-14 14:42:55,From ANDRA-MARIA RUSEA,82.00,0.00,RON,COMPLETED,285.79
TOPUP,Current,2024-05-18 10:08:55,2024-05-18 10:08:56,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2535.79
TRANSFER,Current,2024-05-18 10:09:27,2024-05-18 10:09:27,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,285.79
TRANSFER,Current,2024-05-19 15:15:11,2024-05-19 15:15:11,From MIRUNA-IOANA PAMPEA,215.00,0.00,RON,COMPLETED,500.79
TRANSFER,Current,2024-05-25 10:18:49,2024-05-25 10:18:49,To LAURENTIU-IRINEL STAVARACHE,-400.00,0.00,RON,COMPLETED,100.79
TRANSFER,Current,2024-05-25 11:08:51,2024-05-25 11:08:51,To LAURENTIU-IRINEL STAVARACHE,-60.00,0.00,RON,COMPLETED,40.79
TRANSFER,Current,2024-05-25 20:32:11,2024-05-25 20:32:11,From MIRUNA-IOANA PAMPEA,160.00,0.00,RON,COMPLETED,200.79
TRANSFER,Current,2024-05-31 20:28:33,2024-05-31 20:28:33,To MIRUNA-IOANA PAMPEA,-140.00,0.00,RON,COMPLETED,60.79
TRANSFER,Current,2024-05-31 20:29:13,2024-05-31 20:29:13,From MIRUNA-IOANA PAMPEA,0.40,0.00,RON,COMPLETED,61.19
TRANSFER,Current,2024-06-02 19:16:05,2024-06-02 19:16:05,From ANDRA-MARIA RUSEA,50.00,0.00,RON,COMPLETED,111.19
TRANSFER,Current,2024-06-04 23:18:54,2024-06-04 23:18:54,From ANDRA-MARIA RUSEA,260.00,0.00,RON,COMPLETED,371.19
TRANSFER,Current,2024-06-11 19:56:19,2024-06-11 19:56:19,To MIRUNA-IOANA PAMPEA,-113.00,0.00,RON,COMPLETED,258.19
TOPUP,Current,2024-06-18 13:43:41,2024-06-18 13:43:42,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2508.19
TRANSFER,Current,2024-06-18 13:44:11,2024-06-18 13:44:11,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,258.19
TRANSFER,Current,2024-06-20 20:38:52,2024-06-20 20:38:52,From MIRUNA-IOANA PAMPEA,67.00,0.00,RON,COMPLETED,325.19
TRANSFER,Current,2024-06-20 22:22:45,2024-06-20 22:22:45,To MIRUNA-IOANA PAMPEA,-70.00,0.00,RON,COMPLETED,255.19
TRANSFER,Current,2024-06-23 11:16:48,2024-06-23 11:16:48,From OANA COSMINA NICU,462.00,0.00,RON,COMPLETED,717.19
TRANSFER,Current,2024-06-24 15:09:29,2024-06-24 15:09:29,From OANA COSMINA NICU,50.00,0.00,RON,COMPLETED,767.19
TRANSFER,Current,2024-06-26 18:21:44,2024-06-26 18:21:45,To MIRUNA-IOANA PAMPEA,-250.00,0.00,RON,COMPLETED,517.19
TRANSFER,Current,2024-06-28 21:17:43,2024-06-28 21:17:44,From MIRUNA-IOANA PAMPEA,10.00,0.00,RON,COMPLETED,527.19
TRANSFER,Current,2024-06-30 13:33:49,2024-06-30 13:33:49,To MIRUNA-IOANA PAMPEA,-200.00,0.00,RON,COMPLETED,327.19
TRANSFER,Current,2024-07-02 16:39:53,2024-07-02 16:39:53,To LAURENTIU-IRINEL STAVARACHE,-295.00,0.00,RON,COMPLETED,32.19
TOPUP,Current,2024-07-02 21:50:02,2024-07-02 21:50:04,Apple Pay Top-Up by *4109,850.00,0.00,RON,COMPLETED,882.19
TRANSFER,Current,2024-07-02 21:51:32,2024-07-02 21:51:32,To MIRUNA-IOANA PAMPEA,-850.00,0.00,RON,COMPLETED,32.19
TOPUP,Current,2024-07-04 18:12:30,2024-07-04 18:12:32,Apple Pay Top-Up by *4109,650.00,0.00,RON,COMPLETED,682.19
TRANSFER,Current,2024-07-07 14:13:21,2024-07-07 14:13:21,To MIRUNA-IOANA PAMPEA,-185.00,0.00,RON,COMPLETED,497.19
TRANSFER,Current,2024-07-07 21:13:43,2024-07-07 21:13:43,To MIRUNA-IOANA PAMPEA,-100.00,0.00,RON,COMPLETED,397.19
TRANSFER,Current,2024-07-09 18:52:29,2024-07-09 18:54:19,To Miruna Pampea,-150.00,0.00,RON,COMPLETED,247.19
TRANSFER,Current,2024-07-11 21:05:34,2024-07-11 21:05:34,From MIRUNA-IOANA PAMPEA,150.00,0.00,RON,COMPLETED,397.19
TOPUP,Current,2024-07-11 21:07:00,2024-07-11 21:07:01,Apple Pay Top-Up by *4109,2500.00,0.00,RON,COMPLETED,2897.19
TRANSFER,Current,2024-07-11 21:07:24,2024-07-11 21:07:24,To MIRUNA-IOANA PAMPEA,-2500.00,0.00,RON,COMPLETED,397.19
TRANSFER,Current,2024-07-11 21:14:32,2024-07-11 21:14:33,To MIRUNA-IOANA PAMPEA,-100.00,0.00,RON,COMPLETED,297.19
TRANSFER,Current,2024-07-14 13:47:24,2024-07-14 13:47:25,From MIRUNA-IOANA PAMPEA,3400.00,0.00,RON,COMPLETED,3697.19
TRANSFER,Current,2024-07-17 09:42:40,2024-07-17 09:42:40,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,1447.19
CARD_PAYMENT,Current,2024-07-19 20:58:36,2024-07-20 15:25:58,Hotel Cristal Center,-36.00,0.00,RON,COMPLETED,1411.19
CARD_PAYMENT,Current,2024-07-18 22:28:17,2024-07-20 16:06:02,Parkmart,-17.38,0.00,RON,COMPLETED,1393.81
CARD_PAYMENT,Current,2024-07-19 21:17:45,2024-07-20 19:12:05,N A Black Sea,-14.00,0.00,RON,COMPLETED,1379.81
CARD_PAYMENT,Current,2024-07-20 10:43:18,2024-07-21 16:11:21,Aqua Magic Mamaia,-220.00,0.00,RON,COMPLETED,1159.81
CARD_PAYMENT,Current,2024-07-20 13:05:37,2024-07-21 16:11:23,Aqua Magic Mamaia,-38.00,0.00,RON,COMPLETED,1121.81
CARD_PAYMENT,Current,2024-07-20 13:01:12,2024-07-21 16:11:28,Aqua Magic Mamaia,-90.00,0.00,RON,COMPLETED,1031.81
CARD_PAYMENT,Current,2024-07-21 18:57:46,2024-07-22 15:59:34,Kaufland,-253.06,0.00,RON,COMPLETED,778.75
CARD_PAYMENT,Current,2024-07-20 20:00:15,2024-07-23 15:36:06,KFC,-96.00,0.00,RON,COMPLETED,682.75
CARD_PAYMENT,Current,2024-07-19 22:13:25,2024-07-23 15:42:38,Briza Mării,-109.00,0.00,RON,COMPLETED,573.75
TOPUP,Current,2024-07-25 13:49:41,2024-07-25 13:49:42,Apple Pay Top-Up by *4109,200.00,0.00,RON,COMPLETED,773.75
TRANSFER,Current,2024-07-25 13:50:01,2024-07-25 13:50:01,To LAURENTIU-IRINEL STAVARACHE,-660.00,0.00,RON,COMPLETED,113.75
TOPUP,Current,2024-07-31 09:08:35,2024-07-31 09:08:36,Apple Pay Top-Up by *4109,2000.00,0.00,RON,COMPLETED,2113.75
CARD_PAYMENT,Current,2024-07-31 21:22:41,2024-08-01 16:57:34,Primark,-65.00,0.00,RON,COMPLETED,2048.75
CARD_PAYMENT,Current,2024-08-03 20:42:49,2024-08-04 14:22:36,Mega Image,-41.36,0.00,RON,COMPLETED,2007.39
TRANSFER,Current,2024-08-04 20:31:58,2024-08-04 20:31:58,To MIRUNA-IOANA PAMPEA,-60.00,0.00,RON,COMPLETED,1947.39
CARD_PAYMENT,Current,2024-08-06 14:15:22,2024-08-07 15:50:37,Lidl,-264.97,0.00,RON,COMPLETED,1682.42
CARD_PAYMENT,Current,2024-08-06 20:31:05,2024-08-07 16:19:18,Mega Image,-34.99,0.00,RON,COMPLETED,1647.43
TRANSFER,Current,2024-08-10 20:26:34,2024-08-10 20:26:34,To MIRUNA-IOANA PAMPEA,-130.00,0.00,RON,COMPLETED,1517.43
CARD_PAYMENT,Current,2024-08-11 15:04:26,2024-08-12 16:57:58,Carrefour,-305.07,0.00,RON,COMPLETED,1212.36
TOPUP,Current,2024-08-12 21:05:04,2024-08-12 21:05:06,Apple Pay Top-Up by *4109,4000.00,0.00,RON,COMPLETED,5212.36
TRANSFER,Current,2024-08-12 21:05:31,2024-08-12 21:05:31,To MIRUNA-IOANA PAMPEA,-1268.00,0.00,RON,COMPLETED,3944.36
TRANSFER,Current,2024-08-13 07:05:38,2024-08-13 07:05:38,From MIRUNA-IOANA PAMPEA,925.00,0.00,RON,COMPLETED,4869.36
TRANSFER,Current,2024-08-13 10:21:28,2024-08-13 10:21:28,To MIRUNA-IOANA PAMPEA,-800.00,0.00,RON,COMPLETED,4069.36
CARD_PAYMENT,Current,2024-08-12 20:14:31,2024-08-13 16:58:05,Lidl,-114.38,0.00,RON,COMPLETED,3954.98
TRANSFER,Current,2024-08-13 18:18:13,2024-08-13 18:18:14,To MIRUNA-IOANA PAMPEA,-1717.00,0.00,RON,COMPLETED,2237.98
TRANSFER,Current,2024-08-13 19:02:42,2024-08-13 19:02:43,From MIRUNA-IOANA PAMPEA,1822.00,0.00,RON,COMPLETED,4059.98
CARD_PAYMENT,Current,2024-08-14 18:56:15,2024-08-15 17:42:04,Lidl,-173.38,0.00,RON,COMPLETED,3886.60
TRANSFER,Current,2024-08-15 18:04:23,2024-08-15 18:04:23,To MIRUNA-IOANA PAMPEA,-400.00,0.00,RON,COMPLETED,3486.60
CARD_PAYMENT,Current,2024-08-15 18:56:39,2024-08-16 15:58:58,Kaufland,-184.47,0.00,RON,COMPLETED,3302.13
CARD_PAYMENT,Current,2024-08-15 17:32:41,2024-08-16 16:31:48,Ro18 1buc Fash House,-379.99,0.00,RON,COMPLETED,2922.14
TRANSFER,Current,2024-08-17 14:27:07,2024-08-17 14:27:08,To MIRUNA-IOANA PAMPEA,-25.00,0.00,RON,COMPLETED,2897.14
TRANSFER,Current,2024-08-17 16:03:31,2024-08-17 16:03:32,To MIRUNA-IOANA PAMPEA,-85.00,0.00,RON,COMPLETED,2812.14
TRANSFER,Current,2024-08-17 16:06:07,2024-08-17 16:06:07,To MIRUNA-IOANA PAMPEA,-55.00,0.00,RON,COMPLETED,2757.14
CARD_PAYMENT,Current,2024-08-16 21:36:52,2024-08-17 16:07:20,Auchan,-3.00,0.00,RON,COMPLETED,2754.14
TRANSFER,Current,2024-08-17 16:08:23,2024-08-17 16:08:23,From MIRUNA-IOANA PAMPEA,55.00,0.00,RON,COMPLETED,2809.14
TRANSFER,Current,2024-08-17 21:51:42,2024-08-17 21:51:42,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,559.14
CARD_PAYMENT,Current,2024-08-17 21:49:34,2024-08-18 16:31:19,McDonald's,-74.00,0.00,RON,COMPLETED,485.14
TRANSFER,Current,2024-08-19 15:29:39,2024-08-19 15:29:39,To MIRUNA-IOANA PAMPEA,-11.00,0.00,RON,COMPLETED,474.14
CARD_PAYMENT,Current,2024-08-18 13:47:20,2024-08-19 16:35:30,Lidl,-326.87,0.00,RON,COMPLETED,147.27
TRANSFER,Current,2024-08-21 11:07:36,2024-08-21 11:07:36,From MIRUNA-IOANA PAMPEA,50.00,0.00,RON,COMPLETED,197.27
TOPUP,Current,2024-08-22 20:48:06,2024-08-22 20:48:08,Apple Pay Top-Up by *4109,500.00,0.00,RON,COMPLETED,697.27
CARD_PAYMENT,Current,2024-08-21 15:05:52,2024-08-23 15:28:17,STB Bucuresti,-3.00,0.00,RON,COMPLETED,694.27
CARD_PAYMENT,Current,2024-08-21 14:55:13,2024-08-23 15:28:18,Metrorex,-3.00,0.00,RON,COMPLETED,691.27
CARD_PAYMENT,Current,2024-08-21 19:32:00,2024-08-23 15:50:59,Il Maestro,-20.00,0.00,RON,COMPLETED,671.27
CARD_PAYMENT,Current,2024-08-22 20:53:32,2024-08-23 16:19:08,Lidl,-230.40,0.00,RON,COMPLETED,440.87
CARD_PAYMENT,Current,2024-08-23 11:47:15,2024-08-24 17:29:52,Mega Image,-116.47,0.00,RON,COMPLETED,324.40
CARD_PAYMENT,Current,2024-08-24 14:16:17,2024-08-25 16:02:21,Frtidealconsultsrl,-10.00,0.00,RON,COMPLETED,314.40
CARD_PAYMENT,Current,2024-08-24 14:27:22,2024-08-25 16:02:22,Frtidealconsultsrl,-15.00,0.00,RON,COMPLETED,299.40
TRANSFER,Current,2024-08-26 17:20:46,2024-08-26 17:20:46,From MIRUNA-IOANA PAMPEA,150.00,0.00,RON,COMPLETED,449.40
CARD_PAYMENT,Current,2024-08-26 20:13:05,2024-08-27 17:54:32,Lidl,-24.42,0.00,RON,COMPLETED,424.98
TRANSFER,Current,2024-08-29 15:32:46,2024-08-29 15:32:47,To MIRUNA-IOANA PAMPEA,-100.00,0.00,RON,COMPLETED,324.98
TOPUP,Current,2024-08-30 10:07:39,2024-08-30 10:07:41,Apple Pay Top-Up by *4109,4000.00,0.00,RON,COMPLETED,4324.98
TRANSFER,Current,2024-08-30 14:12:24,2024-08-30 14:12:25,To LAURENTIU-IRINEL STAVARACHE,-733.00,0.00,RON,COMPLETED,3591.98
TRANSFER,Current,2024-08-31 18:40:24,2024-08-31 18:40:24,To MIRUNA-IOANA PAMPEA,-150.00,0.00,RON,COMPLETED,3441.98
CARD_PAYMENT,Current,2024-09-01 16:06:09,2024-09-02 15:44:50,Lidl,-128.53,0.00,RON,COMPLETED,3313.45
CARD_PAYMENT,Current,2024-09-02 20:20:01,2024-09-03 16:53:35,Mega Image,-41.09,0.00,RON,COMPLETED,3272.36
TRANSFER,Current,2024-09-03 20:10:58,2024-09-03 20:10:58,From MIRUNA-IOANA PAMPEA,10.00,0.00,RON,COMPLETED,3282.36
CARD_PAYMENT,Current,2024-09-03 20:06:27,2024-09-04 14:56:53,Mega Image,-67.65,0.00,RON,COMPLETED,3214.71
TRANSFER,Current,2024-09-04 16:51:07,2024-09-04 16:51:07,To MIRUNA-IOANA PAMPEA,-140.00,0.00,RON,COMPLETED,3074.71
CARD_PAYMENT,Current,2024-09-04 16:03:44,2024-09-05 16:23:11,Mega Image,-31.86,0.00,RON,COMPLETED,3042.85
CARD_PAYMENT,Current,2024-09-05 19:37:29,2024-09-06 16:08:02,Catena,-23.20,0.00,RON,COMPLETED,3019.65
CARD_PAYMENT,Current,2024-09-06 14:26:32,2024-09-07 16:20:43,Octavian Sârbu Concept,-60.00,0.00,RON,COMPLETED,2959.65
CARD_PAYMENT,Current,2024-09-06 14:40:25,2024-09-07 17:34:19,Pizza Luca,-22.47,0.00,RON,COMPLETED,2937.18
CARD_PAYMENT,Current,2024-09-07 13:04:22,2024-09-08 15:11:36,Frtidealconsultsrl,-20.00,0.00,RON,COMPLETED,2917.18
CARD_PAYMENT,Current,2024-09-08 17:45:12,2024-09-09 16:48:56,Mega Image,-87.18,0.00,RON,COMPLETED,2830.00
CARD_PAYMENT,Current,2024-09-08 17:30:12,2024-09-09 17:01:16,Lidl,-310.93,0.00,RON,COMPLETED,2519.07
CARD_PAYMENT,Current,2024-09-06 14:45:23,2024-09-10 16:02:12,STB Bucuresti,-3.00,0.00,RON,COMPLETED,2516.07
CARD_PAYMENT,Current,2024-09-09 20:34:04,2024-09-10 16:29:35,PENNY,-48.53,0.00,RON,COMPLETED,2467.54
CARD_PAYMENT,Current,2024-09-11 20:45:51,2024-09-12 15:31:17,Tabac Xpress,-25.00,0.00,RON,COMPLETED,2442.54
CARD_PAYMENT,Current,2024-09-11 20:44:41,2024-09-12 15:34:08,Kaufland,-274.16,0.00,RON,COMPLETED,2168.38
CARD_PAYMENT,Current,2024-09-12 22:04:08,2024-09-13 14:55:44,McDonald's,-80.50,0.00,RON,COMPLETED,2087.88
CARD_PAYMENT,Current,2024-09-12 20:36:32,2024-09-13 16:05:48,eMAG,-231.95,0.00,RON,COMPLETED,1855.93
CARD_PAYMENT,Current,2024-09-13 19:38:14,2024-09-14 18:53:13,Lidl,-100.20,0.00,RON,COMPLETED,1755.73
CARD_PAYMENT,Current,2024-09-13 11:45:10,2024-09-14 18:54:29,Frtidealconsultsrl,-5.00,0.00,RON,COMPLETED,1750.73
CARD_PAYMENT,Current,2024-09-13 11:17:58,2024-09-14 19:07:58,LUKOIL,-150.14,0.00,RON,COMPLETED,1600.59
CARD_PAYMENT,Current,2024-09-13 19:47:22,2024-09-14 19:08:05,Mega Image,-24.36,0.00,RON,COMPLETED,1576.23
CARD_PAYMENT,Current,2024-09-13 13:51:41,2024-09-14 19:09:30,Bimmer Service,-346.00,0.00,RON,COMPLETED,1230.23
CARD_PAYMENT,Current,2024-09-14 20:39:19,2024-09-15 15:53:46,Mega Image,-40.88,0.00,RON,COMPLETED,1189.35
CARD_PAYMENT,Current,2024-09-15 17:38:30,2024-09-16 15:23:41,Mag Afi Cotroceni,-7.50,0.00,RON,COMPLETED,1181.85
CARD_PAYMENT,Current,2024-09-13 19:19:57,2024-09-16 15:33:56,PENNY,-107.23,0.00,RON,COMPLETED,1074.62
CARD_PAYMENT,Current,2024-09-15 17:33:06,2024-09-16 15:40:22,AFI Cotroceni,-79.97,0.00,RON,COMPLETED,994.65
CARD_PAYMENT,Current,2024-09-15 17:21:45,2024-09-16 15:58:30,Primark,-158.00,0.00,RON,COMPLETED,836.65
CARD_PAYMENT,Current,2024-09-15 18:19:55,2024-09-16 16:19:34,Afi Cotroceni,-69.30,0.00,RON,COMPLETED,767.35
TOPUP,Current,2024-09-16 17:18:59,2024-09-16 17:19:00,Apple Pay Top-Up by *4109,4000.00,0.00,RON,COMPLETED,4767.35
TRANSFER,Current,2024-09-16 17:20:10,2024-09-16 17:20:10,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,2517.35
CARD_PAYMENT,Current,2024-09-16 12:38:14,2024-09-17 15:23:33,McDonald's,-56.00,0.00,RON,COMPLETED,2461.35
CARD_PAYMENT,Current,2024-09-16 19:47:03,2024-09-17 15:54:32,Lidl,-126.12,0.00,RON,COMPLETED,2335.23
CARD_PAYMENT,Current,2024-09-15 18:03:48,2024-09-17 16:08:20,Cărturești,-200.40,0.00,RON,COMPLETED,2134.83
CARD_PAYMENT,Current,2024-09-16 20:06:17,2024-09-17 16:34:49,Mega Image,-25.87,0.00,RON,COMPLETED,2108.96
CARD_PAYMENT,Current,2024-09-16 20:23:44,2024-09-17 16:35:00,Mega Image,-14.08,0.00,RON,COMPLETED,2094.88
TRANSFER,Current,2024-09-19 13:51:06,2024-09-19 13:51:06,To MIRUNA-IOANA PAMPEA,-123.00,0.00,RON,COMPLETED,1971.88
CARD_PAYMENT,Current,2024-09-18 22:15:46,2024-09-19 15:23:24,WorldClass,-12.99,0.00,RON,COMPLETED,1958.89
CARD_PAYMENT,Current,2024-09-18 12:02:13,2024-09-20 15:51:00,Il Maestro,-14.00,0.00,RON,COMPLETED,1944.89
CARD_PAYMENT,Current,2024-09-19 19:51:47,2024-09-20 16:18:46,Mega Image,-61.50,0.00,RON,COMPLETED,1883.39
TOPUP,Current,2024-09-20 20:52:48,2024-09-20 20:52:49,Apple Pay Top-Up by *4109,600.00,0.00,RON,COMPLETED,2483.39
TRANSFER,Current,2024-09-21 13:05:29,2024-09-21 13:05:29,From CONSTANTIN MITROIU,60.00,0.00,RON,COMPLETED,2543.39
TRANSFER,Current,2024-09-21 13:06:35,2024-09-21 13:06:36,To CONSTANTIN MITROIU,-60.00,0.00,RON,COMPLETED,2483.39
TRANSFER,Current,2024-09-21 14:50:11,2024-09-21 14:50:11,To RENATTA-CONSTANTA MITROIU,-50.00,0.00,RON,COMPLETED,2433.39
TRANSFER,Current,2024-09-21 14:50:25,2024-09-21 14:50:25,To RENATTA-CONSTANTA MITROIU,-100.00,0.00,RON,COMPLETED,2333.39
CARD_PAYMENT,Current,2024-09-20 20:41:26,2024-09-21 15:04:01,Mega Image,-48.22,0.00,RON,COMPLETED,2285.17
CARD_PAYMENT,Current,2024-09-20 14:11:29,2024-09-21 15:48:58,Lidl,-346.28,0.00,RON,COMPLETED,1938.89
CARD_PAYMENT,Current,2024-09-21 09:15:26,2024-09-22 15:12:39,Frtidealconsultsrl,-15.00,0.00,RON,COMPLETED,1923.89
CARD_PAYMENT,Current,2024-09-21 10:08:55,2024-09-22 15:53:52,OMV,-17.68,0.00,RON,COMPLETED,1906.21
TRANSFER,Current,2024-09-23 15:20:30,2024-09-23 15:20:30,From MIRUNA-IOANA PAMPEA,50.00,0.00,RON,COMPLETED,1956.21
CARD_PAYMENT,Current,2024-09-22 16:04:46,2024-09-23 15:58:39,Mega Image,-71.91,0.00,RON,COMPLETED,1884.30
CARD_PAYMENT,Current,2024-09-23 16:21:43,2024-09-24 16:37:11,Mega Image,-154.41,0.00,RON,COMPLETED,1729.89
CARD_PAYMENT,Current,2024-09-23 16:01:32,2024-09-24 16:41:52,Lidl,-115.62,0.00,RON,COMPLETED,1614.27
CARD_PAYMENT,Current,2024-09-24 18:36:13,2024-09-25 15:49:48,PENNY,-22.97,0.00,RON,COMPLETED,1591.30
TRANSFER,Current,2024-09-25 16:44:26,2024-09-25 16:44:26,To MIRUNA-IOANA PAMPEA,-63.00,0.00,RON,COMPLETED,1528.30
CARD_PAYMENT,Current,2024-09-25 19:35:07,2024-09-26 15:01:07,Catena,-23.20,0.00,RON,COMPLETED,1505.10
CARD_PAYMENT,Current,2024-09-25 20:22:20,2024-09-26 15:02:07,Mega Image,-21.05,0.00,RON,COMPLETED,1484.05
CARD_PAYMENT,Current,2024-09-25 19:41:33,2024-09-26 15:11:12,Mega Image,-25.00,0.00,RON,COMPLETED,1459.05
CARD_PAYMENT,Current,2024-09-26 11:48:50,2024-09-27 15:05:04,Lidl,-221.32,0.00,RON,COMPLETED,1237.73
CARD_PAYMENT,Current,2024-09-26 11:59:09,2024-09-27 16:35:06,Mega Image,-28.15,0.00,RON,COMPLETED,1209.58
TRANSFER,Current,2024-09-27 16:40:02,2024-09-27 16:40:03,To LAURENTIU-IRINEL STAVARACHE,-950.00,0.00,RON,COMPLETED,259.58
TOPUP,Current,2024-09-30 11:10:09,2024-09-30 11:10:10,Apple Pay Top-Up by *4109,2000.00,0.00,RON,COMPLETED,2259.58
TRANSFER,Current,2024-09-30 17:04:51,2024-09-30 17:04:51,To MIRUNA-IOANA PAMPEA,-125.00,0.00,RON,COMPLETED,2134.58
TRANSFER,Current,2024-09-30 17:05:50,2024-09-30 17:05:50,To MIRUNA-IOANA PAMPEA,-1.00,0.00,RON,COMPLETED,2133.58
TRANSFER,Current,2024-09-30 17:06:33,2024-09-30 17:06:33,From MIRUNA-IOANA PAMPEA,0.50,0.00,RON,COMPLETED,2134.08
CARD_PAYMENT,Current,2024-09-30 10:39:54,2024-10-01 17:13:07,LUKOIL,-150.26,0.00,RON,COMPLETED,1983.82
CARD_PAYMENT,Current,2024-10-01 16:08:48,2024-10-02 15:59:59,Starbucks,-27.90,0.00,RON,COMPLETED,1955.92
